Site;"Site ID";Campagne;"Campagne ID";Rémunération;"Type de support";Support;"Nom du fichier";"Taille de bannière";Texte;Description;Expéditeur;"Expéditeur complément";Objet;"Objet complément";"Début de validité";"Fin de validité";Javascript;HTML;"URL de clic";"URL d'affichage";"URL d'affichage tiers"
"Euromillions resultats FR";SA574447;"FDJ ";P75281;;Bannière;Exclu_Web_Illiko;;320x179;;;;;;;;;"<script type=""text/javascript"" src=""https://img.metaffiliation.com/na/na/res/trk/script.js""></script>
<!-- BEGIN CODE IMAGE  320x179 -->
<script type=""text/javascript"">
	try {
		new KwankoSDKLoader.getSlot(""S51261158C3EF2397"");
	} catch(e) {}
</script>
<noscript>
	<iframe src=""https://action.metaffiliation.com/trk.php?maff=N51261158C3EF2397"" width=""320"" height=""179"" frameborder=""0"" scrolling=""no""></iframe>
</noscript>
<!-- END CODE -->";"<a href=""https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF2397""><img src=""https://action.metaffiliation.com/trk.php?maff=P51261158C3EF2397""></a>";https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF2397;https://action.metaffiliation.com/trk.php?maff=P51261158C3EF2397;
"Euromillions resultats FR";SA574447;"FDJ ";P75281;;Bannière;Exclu_Web_Illiko;;320x50;;;;;;;;;"<script type=""text/javascript"" src=""https://img.metaffiliation.com/na/na/res/trk/script.js""></script>
<!-- BEGIN CODE IMAGE  320x50 -->
<script type=""text/javascript"">
	try {
		new KwankoSDKLoader.getSlot(""S51261158C3EF2395"");
	} catch(e) {}
</script>
<noscript>
	<iframe src=""https://action.metaffiliation.com/trk.php?maff=N51261158C3EF2395"" width=""320"" height=""50"" frameborder=""0"" scrolling=""no""></iframe>
</noscript>
<!-- END CODE -->";"<a href=""https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF2395""><img src=""https://action.metaffiliation.com/trk.php?maff=P51261158C3EF2395""></a>";https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF2395;https://action.metaffiliation.com/trk.php?maff=P51261158C3EF2395;
"Euromillions resultats FR";SA574447;"FDJ ";P75281;;Bannière;FilRouge_EUML_2025;;320x170;;;;;;;;;"<script type=""text/javascript"" src=""https://img.metaffiliation.com/na/na/res/trk/script.js""></script>
<!-- BEGIN CODE IMAGE  320x170 -->
<script type=""text/javascript"">
	try {
		new KwankoSDKLoader.getSlot(""S51261158C3EF21325"");
	} catch(e) {}
</script>
<noscript>
	<iframe src=""https://action.metaffiliation.com/trk.php?maff=N51261158C3EF21325"" width=""320"" height=""170"" frameborder=""0"" scrolling=""no""></iframe>
</noscript>
<!-- END CODE -->";"<a href=""https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF21325""><img src=""https://action.metaffiliation.com/trk.php?maff=P51261158C3EF21325""></a>";https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF21325;https://action.metaffiliation.com/trk.php?maff=P51261158C3EF21325;
"Euromillions resultats FR";SA574447;"FDJ ";P75281;;Bannière;FilRouge_EUML_2025;;120x600;;;;;;;;;"<script type=""text/javascript"" src=""https://img.metaffiliation.com/na/na/res/trk/script.js""></script>
<!-- BEGIN CODE IMAGE  120x600 -->
<script type=""text/javascript"">
	try {
		new KwankoSDKLoader.getSlot(""S51261158C3EF21317"");
	} catch(e) {}
</script>
<noscript>
	<iframe src=""https://action.metaffiliation.com/trk.php?maff=N51261158C3EF21317"" width=""120"" height=""600"" frameborder=""0"" scrolling=""no""></iframe>
</noscript>
<!-- END CODE -->";"<a href=""https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF21317""><img src=""https://action.metaffiliation.com/trk.php?maff=P51261158C3EF21317""></a>";https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF21317;https://action.metaffiliation.com/trk.php?maff=P51261158C3EF21317;
"Euromillions resultats FR";SA574447;"FDJ ";P75281;;Bannière;FilRouge_EUML_2025;;728x90;;;;;;;;;"<script type=""text/javascript"" src=""https://img.metaffiliation.com/na/na/res/trk/script.js""></script>
<!-- BEGIN CODE IMAGE  728x90 -->
<script type=""text/javascript"">
	try {
		new KwankoSDKLoader.getSlot(""S51261158C3EF21313"");
	} catch(e) {}
</script>
<noscript>
	<iframe src=""https://action.metaffiliation.com/trk.php?maff=N51261158C3EF21313"" width=""728"" height=""90"" frameborder=""0"" scrolling=""no""></iframe>
</noscript>
<!-- END CODE -->";"<a href=""https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF21313""><img src=""https://action.metaffiliation.com/trk.php?maff=P51261158C3EF21313""></a>";https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF21313;https://action.metaffiliation.com/trk.php?maff=P51261158C3EF21313;
"Euromillions resultats FR";SA574447;"FDJ ";P75281;;Bannière;FilRouge_EUML_2025;;320x480;;;;;;;;;"<script type=""text/javascript"" src=""https://img.metaffiliation.com/na/na/res/trk/script.js""></script>
<!-- BEGIN CODE IMAGE  320x480 -->
<script type=""text/javascript"">
	try {
		new KwankoSDKLoader.getSlot(""S51261158C3EF2139"");
	} catch(e) {}
</script>
<noscript>
	<iframe src=""https://action.metaffiliation.com/trk.php?maff=N51261158C3EF2139"" width=""320"" height=""480"" frameborder=""0"" scrolling=""no""></iframe>
</noscript>
<!-- END CODE -->";"<a href=""https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF2139""><img src=""https://action.metaffiliation.com/trk.php?maff=P51261158C3EF2139""></a>";https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF2139;https://action.metaffiliation.com/trk.php?maff=P51261158C3EF2139;
"Euromillions resultats FR";SA574447;"FDJ ";P75281;;Bannière;FilRouge_EUML_2025;;320x50;;;;;;;;;"<script type=""text/javascript"" src=""https://img.metaffiliation.com/na/na/res/trk/script.js""></script>
<!-- BEGIN CODE IMAGE  320x50 -->
<script type=""text/javascript"">
	try {
		new KwankoSDKLoader.getSlot(""S51261158C3EF21319"");
	} catch(e) {}
</script>
<noscript>
	<iframe src=""https://action.metaffiliation.com/trk.php?maff=N51261158C3EF21319"" width=""320"" height=""50"" frameborder=""0"" scrolling=""no""></iframe>
</noscript>
<!-- END CODE -->";"<a href=""https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF21319""><img src=""https://action.metaffiliation.com/trk.php?maff=P51261158C3EF21319""></a>";https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF21319;https://action.metaffiliation.com/trk.php?maff=P51261158C3EF21319;
"Euromillions resultats FR";SA574447;"FDJ ";P75281;;Bannière;FilRouge_EUML_2025;;300x600;;;;;;;;;"<script type=""text/javascript"" src=""https://img.metaffiliation.com/na/na/res/trk/script.js""></script>
<!-- BEGIN CODE IMAGE  300x600 -->
<script type=""text/javascript"">
	try {
		new KwankoSDKLoader.getSlot(""S51261158C3EF21315"");
	} catch(e) {}
</script>
<noscript>
	<iframe src=""https://action.metaffiliation.com/trk.php?maff=N51261158C3EF21315"" width=""300"" height=""600"" frameborder=""0"" scrolling=""no""></iframe>
</noscript>
<!-- END CODE -->";"<a href=""https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF21315""><img src=""https://action.metaffiliation.com/trk.php?maff=P51261158C3EF21315""></a>";https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF21315;https://action.metaffiliation.com/trk.php?maff=P51261158C3EF21315;
"Euromillions resultats FR";SA574447;"FDJ ";P75281;;Bannière;FilRouge_EUML_2025;;300x250;;;;;;;;;"<script type=""text/javascript"" src=""https://img.metaffiliation.com/na/na/res/trk/script.js""></script>
<!-- BEGIN CODE IMAGE  300x250 -->
<script type=""text/javascript"">
	try {
		new KwankoSDKLoader.getSlot(""S51261158C3EF2135"");
	} catch(e) {}
</script>
<noscript>
	<iframe src=""https://action.metaffiliation.com/trk.php?maff=N51261158C3EF2135"" width=""300"" height=""250"" frameborder=""0"" scrolling=""no""></iframe>
</noscript>
<!-- END CODE -->";"<a href=""https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF2135""><img src=""https://action.metaffiliation.com/trk.php?maff=P51261158C3EF2135""></a>";https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF2135;https://action.metaffiliation.com/trk.php?maff=P51261158C3EF2135;
"Euromillions resultats FR";SA574447;"FDJ ";P75281;;Bannière;FilRouge_EUML_2025;;320x100;;;;;;;;;"<script type=""text/javascript"" src=""https://img.metaffiliation.com/na/na/res/trk/script.js""></script>
<!-- BEGIN CODE IMAGE  320x100 -->
<script type=""text/javascript"">
	try {
		new KwankoSDKLoader.getSlot(""S51261158C3EF2137"");
	} catch(e) {}
</script>
<noscript>
	<iframe src=""https://action.metaffiliation.com/trk.php?maff=N51261158C3EF2137"" width=""320"" height=""100"" frameborder=""0"" scrolling=""no""></iframe>
</noscript>
<!-- END CODE -->";"<a href=""https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF2137""><img src=""https://action.metaffiliation.com/trk.php?maff=P51261158C3EF2137""></a>";https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF2137;https://action.metaffiliation.com/trk.php?maff=P51261158C3EF2137;
"Euromillions resultats FR";SA574447;"FDJ ";P75281;;Bannière;"verticale ANJ";;982x36;;;;;;;;;"<script type=""text/javascript"" src=""https://img.metaffiliation.com/na/na/res/trk/script.js""></script>
<!-- BEGIN CODE IMAGE  982x36 -->
<script type=""text/javascript"">
	try {
		new KwankoSDKLoader.getSlot(""S51261158C3EF22B3"");
	} catch(e) {}
</script>
<noscript>
	<iframe src=""https://action.metaffiliation.com/trk.php?maff=N51261158C3EF22B3"" width=""982"" height=""36"" frameborder=""0"" scrolling=""no""></iframe>
</noscript>
<!-- END CODE -->";"<a href=""https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF22B3""><img src=""https://action.metaffiliation.com/trk.php?maff=P51261158C3EF22B3""></a>";https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF22B3;https://action.metaffiliation.com/trk.php?maff=P51261158C3EF22B3;
"Euromillions resultats FR";SA574447;"FDJ ";P75281;;Bannière;FilRouge_EUML_2025;;640x340;;;;;;;;;"<script type=""text/javascript"" src=""https://img.metaffiliation.com/na/na/res/trk/script.js""></script>
<!-- BEGIN CODE IMAGE  640x340 -->
<script type=""text/javascript"">
	try {
		new KwankoSDKLoader.getSlot(""S51261158C3EF21323"");
	} catch(e) {}
</script>
<noscript>
	<iframe src=""https://action.metaffiliation.com/trk.php?maff=N51261158C3EF21323"" width=""640"" height=""340"" frameborder=""0"" scrolling=""no""></iframe>
</noscript>
<!-- END CODE -->";"<a href=""https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF21323""><img src=""https://action.metaffiliation.com/trk.php?maff=P51261158C3EF21323""></a>";https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF21323;https://action.metaffiliation.com/trk.php?maff=P51261158C3EF21323;
"Euromillions resultats FR";SA574447;"FDJ ";P75281;;Bannière;FilRouge_LOTO_2025;;160x600;;;;;;;;;"<script type=""text/javascript"" src=""https://img.metaffiliation.com/na/na/res/trk/script.js""></script>
<!-- BEGIN CODE IMAGE  160x600 -->
<script type=""text/javascript"">
	try {
		new KwankoSDKLoader.getSlot(""S51261158C3EF2111"");
	} catch(e) {}
</script>
<noscript>
	<iframe src=""https://action.metaffiliation.com/trk.php?maff=N51261158C3EF2111"" width=""160"" height=""600"" frameborder=""0"" scrolling=""no""></iframe>
</noscript>
<!-- END CODE -->";"<a href=""https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF2111""><img src=""https://action.metaffiliation.com/trk.php?maff=P51261158C3EF2111""></a>";https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF2111;https://action.metaffiliation.com/trk.php?maff=P51261158C3EF2111;
"Euromillions resultats FR";SA574447;"FDJ ";P75281;;Bannière;FilRouge_LOTO_2025;;120x600;;;;;;;;;"<script type=""text/javascript"" src=""https://img.metaffiliation.com/na/na/res/trk/script.js""></script>
<!-- BEGIN CODE IMAGE  120x600 -->
<script type=""text/javascript"">
	try {
		new KwankoSDKLoader.getSlot(""S51261158C3EF21113"");
	} catch(e) {}
</script>
<noscript>
	<iframe src=""https://action.metaffiliation.com/trk.php?maff=N51261158C3EF21113"" width=""120"" height=""600"" frameborder=""0"" scrolling=""no""></iframe>
</noscript>
<!-- END CODE -->";"<a href=""https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF21113""><img src=""https://action.metaffiliation.com/trk.php?maff=P51261158C3EF21113""></a>";https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF21113;https://action.metaffiliation.com/trk.php?maff=P51261158C3EF21113;
"Euromillions resultats FR";SA574447;"FDJ ";P75281;;Bannière;FilRouge_LOTO_2025;;320x50;;;;;;;;;"<script type=""text/javascript"" src=""https://img.metaffiliation.com/na/na/res/trk/script.js""></script>
<!-- BEGIN CODE IMAGE  320x50 -->
<script type=""text/javascript"">
	try {
		new KwankoSDKLoader.getSlot(""S51261158C3EF21115"");
	} catch(e) {}
</script>
<noscript>
	<iframe src=""https://action.metaffiliation.com/trk.php?maff=N51261158C3EF21115"" width=""320"" height=""50"" frameborder=""0"" scrolling=""no""></iframe>
</noscript>
<!-- END CODE -->";"<a href=""https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF21115""><img src=""https://action.metaffiliation.com/trk.php?maff=P51261158C3EF21115""></a>";https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF21115;https://action.metaffiliation.com/trk.php?maff=P51261158C3EF21115;
"Euromillions resultats FR";SA574447;"FDJ ";P75281;;Bannière;FilRouge_LOTO_2025;;300x600;;;;;;;;;"<script type=""text/javascript"" src=""https://img.metaffiliation.com/na/na/res/trk/script.js""></script>
<!-- BEGIN CODE IMAGE  300x600 -->
<script type=""text/javascript"">
	try {
		new KwankoSDKLoader.getSlot(""S51261158C3EF2115"");
	} catch(e) {}
</script>
<noscript>
	<iframe src=""https://action.metaffiliation.com/trk.php?maff=N51261158C3EF2115"" width=""300"" height=""600"" frameborder=""0"" scrolling=""no""></iframe>
</noscript>
<!-- END CODE -->";"<a href=""https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF2115""><img src=""https://action.metaffiliation.com/trk.php?maff=P51261158C3EF2115""></a>";https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF2115;https://action.metaffiliation.com/trk.php?maff=P51261158C3EF2115;
"Euromillions resultats FR";SA574447;"FDJ ";P75281;;Bannière;FilRouge_LOTO_2025;;728x90;;;;;;;;;"<script type=""text/javascript"" src=""https://img.metaffiliation.com/na/na/res/trk/script.js""></script>
<!-- BEGIN CODE IMAGE  728x90 -->
<script type=""text/javascript"">
	try {
		new KwankoSDKLoader.getSlot(""S51261158C3EF21111"");
	} catch(e) {}
</script>
<noscript>
	<iframe src=""https://action.metaffiliation.com/trk.php?maff=N51261158C3EF21111"" width=""728"" height=""90"" frameborder=""0"" scrolling=""no""></iframe>
</noscript>
<!-- END CODE -->";"<a href=""https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF21111""><img src=""https://action.metaffiliation.com/trk.php?maff=P51261158C3EF21111""></a>";https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF21111;https://action.metaffiliation.com/trk.php?maff=P51261158C3EF21111;
"Euromillions resultats FR";SA574447;"FDJ ";P75281;;Bannière;FilRouge_LOTO_2025;;640x340;;;;;;;;;"<script type=""text/javascript"" src=""https://img.metaffiliation.com/na/na/res/trk/script.js""></script>
<!-- BEGIN CODE IMAGE  640x340 -->
<script type=""text/javascript"">
	try {
		new KwankoSDKLoader.getSlot(""S51261158C3EF2119"");
	} catch(e) {}
</script>
<noscript>
	<iframe src=""https://action.metaffiliation.com/trk.php?maff=N51261158C3EF2119"" width=""640"" height=""340"" frameborder=""0"" scrolling=""no""></iframe>
</noscript>
<!-- END CODE -->";"<a href=""https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF2119""><img src=""https://action.metaffiliation.com/trk.php?maff=P51261158C3EF2119""></a>";https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF2119;https://action.metaffiliation.com/trk.php?maff=P51261158C3EF2119;
"Euromillions resultats FR";SA574447;"FDJ ";P75281;;Bannière;FilRouge_EUML_2025;;160x600;;;;;;;;;"<script type=""text/javascript"" src=""https://img.metaffiliation.com/na/na/res/trk/script.js""></script>
<!-- BEGIN CODE IMAGE  160x600 -->
<script type=""text/javascript"">
	try {
		new KwankoSDKLoader.getSlot(""S51261158C3EF2133"");
	} catch(e) {}
</script>
<noscript>
	<iframe src=""https://action.metaffiliation.com/trk.php?maff=N51261158C3EF2133"" width=""160"" height=""600"" frameborder=""0"" scrolling=""no""></iframe>
</noscript>
<!-- END CODE -->";"<a href=""https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF2133""><img src=""https://action.metaffiliation.com/trk.php?maff=P51261158C3EF2133""></a>";https://action.metaffiliation.com/trk.php?mclic=P51261158C3EF2133;https://action.metaffiliation.com/trk.php?maff=P51261158C3EF2133;
